Ekonomiskt bistånd, Antal biståndsmottagare 18 år och äldre, Ålder: 18-65+
Tidaholm;Kvinnor;134;114;102;101
Tidaholm;Båda könen;292;249;225;208
Falköping;Män;525;409;371;367
Falköping;Kvinnor;490;422;389;376
Falköping;Båda könen;1015;831;760;743
Värmlands län;Män;4272;3745;3376;3247
Värmlands län;Kvinnor;3586;3310;2949;2907
Värmlands län;Båda könen;7858;7055;6325;6154
Kil;Män;171;148;134;132
Kil;Kvinnor;141;134;124;117
Kil;Båda könen;312;282;258;249
Eda;Män;108;96;90;87
Eda;Kvinnor;76;77;69;76
Eda;Båda könen;184;173;159;163
Torsby;Män;180;150;144;125
Torsby;Kvinnor;151;116;113;101
Torsby;Båda könen;331;266;257;226
Storfors;Män;41;47;38;41
Storfors;Kvinnor;42;41;39;39
Storfors;Båda könen;83;88;77;80
Hammarö;Män;114;101;83;74
Hammarö;Kvinnor;112;113;101;102
Hammarö;Båda könen;226;214;184;176
Munkfors;Män;63;64;42;36
Munkfors;Kvinnor;41;34;21;30
Munkfors;Båda könen;104;98;63;66
Forshaga;Män;177;149;123;­­
Forshaga;Kvinnor;140;138;117;­­
Forshaga;Båda könen;317;287;240;­­
Grums;Män;150;119;113;112
Grums;Kvinnor;123;94;83;78
Grums;Båda könen;273;213;196;190
Årjäng;Män;137;113;101;91
Årjäng;Kvinnor;104;92;78;79
Årjäng;Båda könen;241;205;179;170
Sunne;Män;163;141;130;120
Sunne;Kvinnor;123;123;100;89
Sunne;Båda könen;286;264;230;209
Karlstad;Män;1367;1207;1122;1122
Karlstad;Kvinnor;1142;1079;977;994
Karlstad;Båda könen;2509;2286;2099;2116
Kristinehamn;Män;517;453;439;401
Kristinehamn;Kvinnor;444;393;352;322
Kristinehamn;Båda könen;961;846;791;723
Filipstad;Män;329;293;246;223
Filipstad;Kvinnor;283;282;258;233
Filipstad;Båda könen;612;575;504;456
Hagfors;Män;181;148;130;128
Hagfors;Kvinnor;121;121;93;93
Hagfors;Båda könen;302;269;223;221
Arvika;Män;330;296;279;284
Arvika;Kvinnor;303;254;242;272
Arvika;Båda könen;633;550;521;556
Säffle;Män;315;271;221;210
Säffle;Kvinnor;305;275;240;206
Säffle;Båda könen;620;546;461;416
Örebro län;Män;3998;3395;3122;3104
Örebro län;Kvinnor;3915;3462;3093;3149
Örebro län;Båda könen;7913;6857;6215;6253
Lekeberg;Män;83;74;63;70
Lekeberg;Kvinnor;68;72;58;62
Lekeberg;Båda könen;151;146;121;132
Laxå;Män;37;44;37;­­
Laxå;Kvinnor;47;50;48;­­
Laxå;Båda könen;84;94;85;­­
Hallsberg;Män;144;113;104;119
Hallsberg;Kvinnor;170;124;114;133
Hallsberg;Båda könen;314;237;218;252
Degerfors;Män;234;213;189;197
Degerfors;Kvinnor;223;186;153;169
Degerfors;Båda könen;457;399;342;366
Hällefors;Män;168;114;102;75
Hällefors;Kvinnor;154;105;94;73
Hällefors;Båda könen;322;219;196;148
Ljusnarsberg;Män;95;88;87;72
Ljusnarsberg;Kvinnor;82;72;68;60
Ljusnarsberg;Båda könen;177;160;155;132
Örebro;Män;2047;1761;1675;1706
Örebro;Kvinnor;2060;1838;1666;1784
Örebro;Båda könen;4107;3599;3341;3490
Kumla;Män;226;187;163;156
Kumla;Kvinnor;242;207;181;160
Kumla;Båda könen;468;394;344;316
Askersund;Män;86;84;70;­­
Askersund;Kvinnor;80;83;68;­­
Askersund;Båda könen;166;167;138;­­
Karlskoga;Män;432;358;328;323
